transaction_id,date,year,quarter,month,month_name,region,category,channel,customer_id,unit_price,quantity,revenue,cost,profit,margin
TXN-09965,2021-01-01,2021,Q1,1,Jan,North,Clothing,Partner,CUST-2609,2365.22,9,21286.98,13545.88,7741.1,36.37
TXN-02163,2021-01-01,2021,Q1,1,Jan,North,Electronics,Online,CUST-1582,91994.88,2,183989.76,114503.21,69486.55,37.77
TXN-01225,2021-01-01,2021,Q1,1,Jan,West,Clothing,Partner,CUST-4862,1324.39,5,6621.95,3775.58,2846.37,42.98
TXN-04023,2021-01-01,2021,Q1,1,Jan,West,Clothing,In-Store,CUST-3955,1760.93,8,14087.44,8087.81,5999.63,42.59
TXN-05533,2021-01-01,2021,Q1,1,Jan,West,Software,In-Store,CUST-3286,14746.12,2,29492.24,18628.34,10863.9,36.84
TXN-13810,2021-01-01,2021,Q1,1,Jan,East,Clothing,Online,CUST-3217,1273.39,4,5093.56,2321.43,2772.13,54.42
TXN-07242,2021-01-01,2021,Q1,1,Jan,Central,Furniture,Direct,CUST-1788,55428.41,16,886854.56,430007.95,456846.61,51.51
TXN-00664,2021-01-01,2021,Q1,1,Jan,North,Clothing,In-Store,CUST-3059,3151.47,8,25211.76,13214.82,11996.94,47.58
TXN-03120,2021-01-01,2021,Q1,1,Jan,East,Electronics,Partner,CUST-2543,94644.69,11,1041091.59,477975.43,563116.16,54.09
TXN-13682,2021-01-01,2021,Q1,1,Jan,South,Software,In-Store,CUST-1932,17505.55,19,332605.45,218917.34,113688.11,34.18
TXN-00351,2021-01-01,2021,Q1,1,Jan,Central,Clothing,Online,CUST-4339,3784.37,8,30274.96,20493.2,9781.76,32.31
TXN-13505,2021-01-01,2021,Q1,1,Jan,West,Food,Partner,CUST-4095,742.15,5,3710.75,2267.21,1443.54,38.9
TXN-07085,2021-01-01,2021,Q1,1,Jan,West,Food,Online,CUST-2940,1054.32,3,3162.96,1479.98,1682.98,53.21
TXN-00232,2021-01-02,2021,Q1,1,Jan,West,Clothing,In-Store,CUST-2062,2360.97,11,25970.67,12486.85,13483.82,51.92
